index,sample_id,possible_answers,query_type,query,answer,image_name
0,0,,,How many people are there?,2,camera04_colorimage-000869.jpg
1,1,,,How many people are there?,3,camera05_colorimage-000374.jpg
2,2,,,How many people are there?,4,camera05_colorimage-005868.jpg
3,3,,,How many people are there?,2,camera04_colorimage-001281.jpg
4,4,,,How many people are there?,3,camera01_colorimage-001541.jpg
5,5,,,How many people are there?,3,camera01_colorimage-001495.jpg
6,6,,,How many people are there?,3,camera01_colorimage-001245.jpg
7,7,,,How many people are there?,2,camera05_colorimage-001911.jpg
8,8,,,How many people are there?,3,camera05_colorimage-001885.jpg
9,9,,,How many people are there?,2,camera01_colorimage-001721.jpg
10,10,,,How many people are there?,3,camera05_colorimage-005384.jpg
11,11,,,How many people are there?,3,camera05_colorimage-000606.jpg
12,12,,,How many people are there?,3,camera01_colorimage-001262.jpg
13,13,,,How many people are there?,3,camera04_colorimage-000763.jpg
14,14,,,How many people are there?,2,camera01_colorimage-001948.jpg
15,15,,,How many people are there?,4,camera05_colorimage-004683.jpg
16,16,,,How many people are there?,3,camera01_colorimage-000844.jpg
17,17,,,How many people are there?,3,camera01_colorimage-001230.jpg
18,18,,,How many people are there?,3,camera04_colorimage-001855.jpg
19,19,,,How many people are there?,3,camera05_colorimage-001477.jpg
20,20,,,How many people are there?,1,camera04_colorimage-001105.jpg
21,21,,,How many people are there?,3,camera01_colorimage-000472.jpg
22,22,,,How many people are there?,3,camera04_colorimage-000392.jpg
23,23,,,How many people are there?,2,camera04_colorimage-001151.jpg
24,24,,,How many people are there?,2,camera01_colorimage-001620.jpg
25,25,,,How many people are there?,3,camera01_colorimage-001560.jpg
26,26,,,How many people are there?,3,camera04_colorimage-000891.jpg
27,27,,,How many people are there?,2,camera01_colorimage-001773.jpg
28,28,,,How many people are there?,3,camera04_colorimage-001711.jpg
29,29,,,How many people are there?,2,camera05_colorimage-005902.jpg
30,30,,,How many people are there?,2,camera01_colorimage-001717.jpg
31,31,,,How many people are there?,3,camera04_colorimage-001679.jpg
32,32,,,How many people are there?,3,camera04_colorimage-001446.jpg
33,33,,,How many people are there?,3,camera05_colorimage-001427.jpg
34,34,,,How many people are there?,5,camera04_colorimage-004683.jpg
35,35,,,How many people are there?,1,camera01_colorimage-002085.jpg
36,36,,,How many people are there?,3,camera04_colorimage-000601.jpg
37,37,,,How many people are there?,5,camera04_colorimage-004612.jpg
38,38,,,How many people are there?,2,camera05_colorimage-001977.jpg
39,39,,,How many people are there?,2,camera04_colorimage-001019.jpg
40,40,,,How many people are there?,2,camera04_colorimage-000341.jpg
41,41,,,How many people are there?,6,camera05_colorimage-003017.jpg
42,42,,,How many people are there?,4,camera04_colorimage-004552.jpg
43,43,,,How many people are there?,4,camera05_colorimage-004391.jpg
44,44,,,How many people are there?,3,camera05_colorimage-001194.jpg
45,45,,,How many people are there?,4,camera04_colorimage-004524.jpg
46,46,,,How many people are there?,5,camera05_colorimage-004409.jpg
47,47,,,How many people are there?,4,camera05_colorimage-004676.jpg
48,48,,,How many people are there?,3,camera04_colorimage-001470.jpg
49,49,,,How many people are there?,2,camera01_colorimage-000518.jpg
50,50,,,How many people are there?,3,camera01_colorimage-001487.jpg
51,51,,,How many people are there?,2,camera01_colorimage-002011.jpg
